,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,crps
cpu_act,1000,7531,-1,sqrt,5,2,1.3490100367379292
pol,1000.0,7531.0,-1.0,0.333,5.0,10.0,1.3552084510561668
elevators,1000.0,7531.0,-1.0,0.5,5.0,6.0,0.0014784298334237379
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,4.0,0.2905071283351042
Ailerons,1000.0,7531.0,-1.0,0.5,5.0,15.0,9.406850028429928e-05
houses,1000.0,7531.0,-1.0,0.5,5.0,4.0,0.12789717936815012
house_16H,1000,7531,-1,sqrt,5,8,0.22379560088349362
diamonds,1000.0,7531.0,-1.0,0.333,5.0,50.0,0.14825709033412066
Brazilian_houses,1000.0,7531.0,-1.0,1.0,5.0,2.0,0.014340292601500295
Bike_Sharing_Demand,1000,7531,-1,sqrt,5,10,50.81135678729936
house_sales,1000.0,7531.0,-1.0,0.5,5.0,6.0,0.10830946070477745
sulfur,1000,7531,-1,sqrt,5,1,0.0120260252517197
MiamiHousing2016,1000.0,7531.0,-1.0,0.333,5.0,6.0,0.08364384308902076
superconduct,1000,7531,-1,sqrt,5,4,3.88157789024851
yprop_4_1,1000,7531,-1,sqrt,5,50,0.016173174751318218
