,n_estimators,random_state,n_jobs,max_features,min_samples_split,min_samples_leaf,se
cpu_act,1000.0,7531.0,-1.0,0.333,5.0,4.0,6.534313201904297
pol,1000.0,7531.0,-1.0,0.333,5.0,20.0,30.940332412719727
elevators,1000.0,7531.0,-1.0,0.5,5.0,4.0,8.896080544218421e-06
wine_quality,1000.0,7531.0,-1.0,0.333,5.0,8.0,0.516574501991272
Ailerons,1000.0,7531.0,-1.0,0.5,5.0,20.0,3.3639430796483794e-08
houses,1000.0,7531.0,-1.0,0.5,5.0,4.0,0.06387211382389069
house_16H,1000,7531,-1,sqrt,5,8,0.4428679347038269
diamonds,1000.0,7531.0,-1.0,0.333,5.0,50.0,0.06905657052993774
Brazilian_houses,1000.0,7531.0,-1.0,0.5,5.0,1.0,0.005113637540489435
Bike_Sharing_Demand,1000,7531,-1,sqrt,5,15,12459.75390625
nyc-taxi-green-dec-2016,1000.0,7531.0,-1.0,1.0,5.0,8.0,0.16552618391363222
house_sales,1000.0,7531.0,-1.0,0.5,5.0,10.0,0.0416051521897316
sulfur,1000.0,7531.0,-1.0,0.333,5.0,2.0,0.001214326941408217
medical_charges,1000.0,7531.0,-1.0,0.333,5.0,15.0,0.008656541143156215
MiamiHousing2016,1000,7531,-1,sqrt,5,2,0.028881484642624855
superconduct,1000,7531,-1,sqrt,5,2,103.39283752441406
yprop_4_1,1000,7531,-1,sqrt,5,40,0.0008858126820996404
delays_zurich_transport,1000.0,7531.0,-1.0,0.5,5.0,8.0,12.52901345826699
